
id,name,description,imageUrl,price,rating,likes,sex,inStock,createdAt,updatedAt
19,Casual Jacket Variant 3,Casual Jacket variant 3 from the clothing category.,,1591,4.2,0,Female,True,,
20,Casual Jacket Variant 4,Casual Jacket variant 4 from the clothing category.,,844,3.3,0,Female,True,,
21,Latest Smartphone Variant 1,Latest Smartphone variant 1 from the electronics category.,,712,3.9,0,Unisex,True,,
22,Latest Smartphone Variant 2,Latest Smartphone variant 2 from the electronics category.,,1214,4.8,0,Unisex,True,,
23,Latest Smartphone Variant 3,Latest Smartphone variant 3 from the electronics category.,,1249,3.1,0,Unisex,True,,
24,Latest Smartphone Variant 4,Latest Smartphone variant 4 from the electronics category.,,2326,4.7,0,Unisex,True,,
25,High-Resolution Monitor Variant 1,High-Resolution Monitor variant 1 from the electronics category.,,2709,4.9,0,Unisex,True,,
26,High-Resolution Monitor Variant 2,High-Resolution Monitor variant 2 from the electronics category.,,2364,4.8,0,Unisex,True,,
27,High-Resolution Monitor Variant 3,High-Resolution Monitor variant 3 from the electronics category.,,1429,3.0,0,Unisex,True,,
28,High-Resolution Monitor Variant 4,High-Resolution Monitor variant 4 from the electronics category.,,2887,5.0,0,Unisex,True,,
29,Wireless Headphones Variant 1,Wireless Headphones variant 1 from the electronics category.,,489,3.2,0,Unisex,True,,
30,Wireless Headphones Variant 2,Wireless Headphones variant 2 from the electronics category.,,1691,4.7,0,Unisex,True,,
31,Wireless Headphones Variant 3,Wireless Headphones variant 3 from the electronics category.,,2580,3.5,0,Unisex,True,,
32,Wireless Headphones Variant 4,Wireless Headphones variant 4 from the electronics category.,,1630,4.0,0,Unisex,True,,
33,Portable Speaker Variant 1,Portable Speaker variant 1 from the electronics category.,,2922,3.2,0,Unisex,True,,
34,Portable Speaker Variant 2,Portable Speaker variant 2 from the electronics category.,,1177,2.9,0,Unisex,True,,
35,Portable Speaker Variant 3,Portable Speaker variant 3 from the electronics category.,,2976,4.4,0,Unisex,True,,
36,Portable Speaker Variant 4,Portable Speaker variant 4 from the electronics category.,,1467,3.5,0,Unisex,True,,
37,Smartwatch With Gps Variant 1,Smartwatch With Gps variant 1 from the electronics category.,,1516,3.2,0,Unisex,True,,
38,Smartwatch With Gps Variant 2,Smartwatch With Gps variant 2 from the electronics category.,,1985,4.9,0,Unisex,True,,
39,Smartwatch With Gps Variant 3,Smartwatch With Gps variant 3 from the electronics category.,,1394,4.4,0,Unisex,True,,
40,Smartwatch With Gps Variant 4,Smartwatch With Gps variant 4 from the electronics category.,,2358,4.9,0,Unisex,True,,
41,Wooden Dining Table Variant 1,Wooden Dining Table variant 1 from the furniture category.,,1848,2.8,0,Unisex,True,,
42,Wooden Dining Table Variant 2,Wooden Dining Table variant 2 from the furniture category.,,1434,3.1,0,Unisex,True,,
43,Wooden Dining Table Variant 3,Wooden Dining Table variant 3 from the furniture category.,,2348,4.6,0,Unisex,True,,
44,Wooden Dining Table Variant 4,Wooden Dining Table variant 4 from the furniture category.,,203,4.0,0,Unisex,True,,
45,Ergonomic Office Chair Variant 1,Ergonomic Office Chair variant 1 from the furniture category.,,1775,4.6,0,Unisex,True,,
46,Ergonomic Office Chair Variant 2,Ergonomic Office Chair variant 2 from the furniture category.,,644,3.4,0,Unisex,True,,
47,Ergonomic Office Chair Variant 3,Ergonomic Office Chair variant 3 from the furniture category.,,338,2.7,0,Unisex,True,,
48,Ergonomic Office Chair Variant 4,Ergonomic Office Chair variant 4 from the furniture category.,,671,3.9,0,Unisex,True,,
49,Modern Sofa Variant 1,Modern Sofa variant 1 from the furniture category.,,398,3.7,0,Unisex,True,,
50,Modern Sofa Variant 2,Modern Sofa variant 2 from the furniture category.,,1815,2.7,0,Unisex,True,,
51,Modern Sofa Variant 3,Modern Sofa variant 3 from the furniture category.,,2499,3.0,0,Unisex,True,,
52,Modern Sofa Variant 4,Modern Sofa variant 4 from the furniture category.,,1230,2.6,0,Unisex,True,,
53,Queen Size Bed Variant 1,Queen Size Bed variant 1 from the furniture category.,,380,4.8,0,Unisex,True,,
54,Queen Size Bed Variant 2,Queen Size Bed variant 2 from the furniture category.,,1582,4.7,0,Unisex,True,,
55,Queen Size Bed Variant 3,Queen Size Bed variant 3 from the furniture category.,,1271,4.5,0,Unisex,True,,
56,Queen Size Bed Variant 4,Queen Size Bed variant 4 from the furniture category.,,959,3.1,0,Unisex,True,,
57,Bookshelf With Storage Variant 1,Bookshelf With Storage variant 1 from the furniture category.,,2138,2.8,0,Unisex,True,,
58,Bookshelf With Storage Variant 2,Bookshelf With Storage variant 2 from the furniture category.,,2985,4.3,0,Unisex,True,,
59,Bookshelf With Storage Variant 3,Bookshelf With Storage variant 3 from the furniture category.,,2738,3.9,0,Unisex,True,,
60,Bookshelf With Storage Variant 4,Bookshelf With Storage variant 4 from the furniture category.,,914,3.5,0,Unisex,True,,
61,Bestselling Novel Variant 1,Bestselling Novel variant 1 from the books category.,,2817,4.0,0,Unisex,True,,
62,Bestselling Novel Variant 2,Bestselling Novel variant 2 from the books category.,,1587,3.3,0,Unisex,True,,
63,Bestselling Novel Variant 3,Bestselling Novel variant 3 from the books category.,,1645,3.3,0,Unisex,True,,
64,Bestselling Novel Variant 4,Bestselling Novel variant 4 from the books category.,,1237,3.9,0,Unisex,True,,
65,Educational Textbook Variant 1,Educational Textbook variant 1 from the books category.,,1646,2.5,0,Unisex,True,,
66,Educational Textbook Variant 2,Educational Textbook variant 2 from the books category.,,2345,2.8,0,Unisex,True,,
67,Educational Textbook Variant 3,Educational Textbook variant 3 from the books category.,,210,4.0,0,Unisex,True,,
68,Educational Textbook Variant 4,Educational Textbook variant 4 from the books category.,,1287,3.9,0,Unisex,True,,
69,Science Fiction Story Variant 1,Science Fiction Story variant 1 from the books category.,,2295,3.2,0,Unisex,True,,
70,Science Fiction Story Variant 2,Science Fiction Story variant 2 from the books category.,,1637,3.0,0,Unisex,True,,
71,Science Fiction Story Variant 3,Science Fiction Story variant 3 from the books category.,,2905,5.0,0,Unisex,True,,
72,Science Fiction Story Variant 4,Science Fiction Story variant 4 from the books category.,,365,4.0,0,Unisex,True,,
73,Inspirational Biography Variant 1,Inspirational Biography variant 1 from the books category.,,354,4.3,0,Unisex,True,,
74,Inspirational Biography Variant 2,Inspirational Biography variant 2 from the books category.,,215,4.7,0,Unisex,True,,
75,Inspirational Biography Variant 3,Inspirational Biography variant 3 from the books category.,,2784,4.2,0,Unisex,True,,
76,Inspirational Biography Variant 4,Inspirational Biography variant 4 from the books category.,,1638,4.3,0,Unisex,True,,
77,Mystery Thriller Variant 1,Mystery Thriller variant 1 from the books category.,,231,3.0,0,Unisex,True,,
78,Mystery Thriller Variant 2,Mystery Thriller variant 2 from the books category.,,2277,3.1,0,Unisex,True,,
79,Mystery Thriller Variant 3,Mystery Thriller variant 3 from the books category.,,2454,3.7,0,Unisex,True,,
80,Mystery Thriller Variant 4,Mystery Thriller variant 4 from the books category.,,2568,3.3,0,Unisex,True,,
81,Puzzle Game For Kids Variant 1,Puzzle Game For Kids variant 1 from the toys category.,,813,4.8,0,Unisex,True,,
82,Puzzle Game For Kids Variant 2,Puzzle Game For Kids variant 2 from the toys category.,,1991,4.9,0,Unisex,True,,
83,Puzzle Game For Kids Variant 3,Puzzle Game For Kids variant 3 from the toys category.,,2242,4.9,0,Unisex,True,,
84,Puzzle Game For Kids Variant 4,Puzzle Game For Kids variant 4 from the toys category.,,527,4.0,0,Unisex,True,,
85,Remote-Controlled Car Variant 1,Remote-Controlled Car variant 1 from the toys category.,,1582,2.7,0,Unisex,True,,
86,Remote-Controlled Car Variant 2,Remote-Controlled Car variant 2 from the toys category.,,775,2.9,0,Unisex,True,,
87,Remote-Controlled Car Variant 3,Remote-Controlled Car variant 3 from the toys category.,,1464,2.9,0,Unisex,True,,
88,Remote-Controlled Car Variant 4,Remote-Controlled Car variant 4 from the toys category.,,670,4.6,0,Unisex,True,,
89,Stuffed Animal Variant 1,Stuffed Animal variant 1 from the toys category.,,2471,3.4,0,Unisex,True,,
90,Stuffed Animal Variant 2,Stuffed Animal variant 2 from the toys category.,,2896,3.7,0,Unisex,True,,
91,Stuffed Animal Variant 3,Stuffed Animal variant 3 from the toys category.,,2190,2.9,0,Unisex,True,,
92,Stuffed Animal Variant 4,Stuffed Animal variant 4 from the toys category.,,583,3.8,0,Unisex,True,,
93,Building Blocks Set Variant 1,Building Blocks Set variant 1 from the toys category.,,1898,4.4,0,Unisex,True,,
94,Building Blocks Set Variant 2,Building Blocks Set variant 2 from the toys category.,,2774,2.5,0,Unisex,True,,
95,Building Blocks Set Variant 3,Building Blocks Set variant 3 from the toys category.,,2879,4.2,0,Unisex,True,,
96,Building Blocks Set Variant 4,Building Blocks Set variant 4 from the toys category.,,1307,4.0,0,Unisex,True,,
97,Educational Toy Kit Variant 1,Educational Toy Kit variant 1 from the toys category.,,1086,4.6,0,Unisex,True,,
98,Educational Toy Kit Variant 2,Educational Toy Kit variant 2 from the toys category.,,569,3.4,0,Unisex,True,,
99,Educational Toy Kit Variant 3,Educational Toy Kit variant 3 from the toys category.,,2418,4.6,0,Unisex,True,,
100,Educational Toy Kit Variant 4,Educational Toy Kit variant 4 from the toys category.,,1828,2.7,0,Unisex,True,,
